"","cluster","weight","payment_value","timedif","payment_installments","major_state"
"1",1,3273.49230769231,19.0262461538462,-11.5419553952991,1,0.153846153846154
"2",2,2082.04156708374,256.296639486386,-12.9176675547771,7.48582407797929,0.116312854398051
"3",3,13406.1904458599,626.810453821656,-11.10106862615,4.48105095541401,0.113216560509554
"4",4,1273.77899067536,118.628948590694,-10.9797305011323,1.69980784873098,0.122965023753669
